Survey ID,Age,Gender,Marital Status,Education,Occupation,Income,Area,Cash Over E Money,Bank Account,Have E-Wallet,Use E-Wallet,E-Wallet Name,E-Wallet Usage Purpose,E-Wallet Usage Reason,Scam or Security reasons,Internet instability or unavailability,Lack of interest,Lack of knowledge,User Satisfaction,Non-Satisfaction Reason,Usage Continuation,Finance Management,General Lack of Trust,E-wallet usage medium
108,18 - 30,Male,Single,PhD,Business,High,Urban area,Maybe,Yes,Yes,No,Jazzcash,"To send money, ",Easy to use,No,No,No,Yes,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
109,18 - 30,Male,Single,Masters/ M.Phil,Corporate Sector,Medium,Urban area,No,Yes,Yes,Yes,Easypaisa,"To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
110,Below 18,Male,Single,Intermediate/ A-Levels,Student,Low,Urban area,No,No,No,No,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,No,Not applicable,No,No,Yes,Mobile Application
111,31 - 50,Female,Divorced,Masters/ M.Phil,Education Sector,Medium,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
112,31 - 50,Female,Married,Masters/ M.Phil,Education Sector,Medium,Urban area,Maybe,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Without Mobile Application
113,31 - 50,Female,Married,Masters/ M.Phil,Education Sector,Medium,Urban area,No,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not applicable 
114,18 - 30,Female,Single,Bachelors,Student,Low,Urban area,No,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
115,18 - 30,Female,Married,Masters/ M.Phil,Unemployed,Medium,Urban area,Yes,Yes,Yes,Yes,Sadapay,To send money,Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
116,Below 18,Female,Single,Intermediate/ A-Levels,Student,Medium,Urban area,Yes,Yes,No,No,Jazzcash,To send money,Accessibility,No,No,No,No,Yes,Internet instability or unavailability,Not applicable,Not applicable,Yes,Mobile Application
117,18 - 30,Female,Single,Diploma,Student,Low,Urban area,Yes,No,Yes,No,"Easypaisa, Jazzcash",To receive money,Accessibility,No,No,No,No,Yes,Not applicable,Yes,Maybe,Maybe,Mobile Application
118,18 - 30,Female,Single,Intermediate/ A-Levels,Student,Low,Urban area,Yes,Yes,Yes,Yes,Jazzcash,To send money,Easy to use,No,No,No,No,Yes,"Internet instability or unavailability, Operational constraint",Yes,Yes,Maybe,Mobile Application
119,18 - 30,Female,Single,Bachelors,Student,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Yes,Maybe,Yes,Mobile Application
120,31 - 50,Male,Married,Masters/ M.Phil,"Corporate Sector, Business, Education Sector",High,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Upaisa, Jazzcash, Sadapay","To send money, To receive money, Online shopping, Bill payments",Easy to use,No,Yes,No,No,Yes,Fear of hidden charges,Yes,No,No,Mobile Application
121,Above 50,Male,Married,Masters/ M.Phil,"Business, Education Sector",High,Urban area,Maybe,Yes,Yes,Yes,Sadapay,"To send money, Bill payments, Recharge or package activation",Convenience,No,No,No,No,Yes,Not applicable,Yes,No,Maybe,Mobile Application
122,31 - 50,Male,Single,Masters/ M.Phil,Business,High,Urban area,Maybe,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,"Inconvenience, Not applicable",Not applicable,Not applicable,Yes,Without Mobile Application
123,18 - 30,Male,Single,Intermediate/ A-Levels,Student,Low,Urban area,Yes,No,Yes,Yes,Easypaisa,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
124,18 - 30,Female,Single,Intermediate/ A-Levels,Student,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
125,18 - 30,Male,Single,Intermediate/ A-Levels,"Business, Student",High,Urban area,Maybe,No,Yes,Yes,Jazzcash,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Internet instability or unavailability,Maybe,No,Maybe,Mobile Application
126,Below 18,Female,Single,Matriculation/ O-Levels,Student,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not applicable 
127,18 - 30,Male,Single,Bachelors,Corporate Sector,High,Rural area,Maybe,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,No,Without Mobile Application
128,18 - 30,Male,Married,Masters/ M.Phil,Law Sector,High,Urban area,Maybe,Yes,Yes,Yes,Nayapay,To send money,Convenience,No,No,No,No,Yes,Not applicable,Yes,Maybe,Yes,Mobile Application
129,18 - 30,Female,Married,No formal education or below matric,Labour,Low,Rural area,Yes,No,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money",Accessibility,No,No,No,No,Yes,Scam or security reasons,Yes,Yes,Maybe,Without Mobile Application
130,31 - 50,Male,Married,No formal education or below matric,Labour,Low,Rural area,Yes,No,Yes,Yes,Easypaisa,"To send money, To receive money",Easy to use,No,No,No,No,No,"Scam or security reasons, Inconvenience",Maybe,Yes,Yes,Mobile Application
131,Below 18,Male,Single,Matriculation/ O-Levels,Student,Low,Rural area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay, Zindagi","To send money, To receive money, Online shopping",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
132,18 - 30,Female,Married,Bachelors,Unemployed,Low,Rural area,Yes,Yes,Yes,Yes,Jazzcash,To send money,Easy to use,No,No,No,No,Yes,Not applicable,Yes,No,No,Mobile Application
133,18 - 30,Male,Single,Masters/ M.Phil,Corporate Sector,High,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Nayapay","To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,No,Yes,Mobile Application
134,18 - 30,Female,Single,Masters/ M.Phil,"Student, Unemployed",Low,Urban area,Yes,Yes,No,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay","To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
135,18 - 30,Male,Single,Masters/ M.Phil,Corporate Sector,Medium,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,Yes,Mobile Application
136,18 - 30,Male,Single,No formal education or below matric,Labour,Low,Urban area,Yes,No,Yes,Yes,Easypaisa,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Without Mobile Application
137,18 - 30,Female,Single,Masters/ M.Phil,"Business, Student",Low,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash, Nayapay","To send money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,Yes,Mobile Application
138,31 - 50,Female,Married,Intermediate/ A-Levels,Homemaker,Low,Urban area,Yes,Yes,Yes,Yes,Easypaisa,Recharge or package activation,Easy to use,No,No,No,No,No,"Lack of interest, Cultural preference/ habit",Maybe,No,Yes,Mobile Application
139,Above 50,Male,Widow/ Widower,No formal education or below matric,Labour,Low,Rural area,Yes,No,Yes,Yes,Jazzcash,To send money,Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Without Mobile Application
140,31 - 50,Male,Married,No formal education or below matric,Labour,Low,Rural area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Nayapay","To send money, To receive money",Easy to use,No,Yes,No,Yes,Yes,"Scam or security reasons, Fear of hidden charges",Yes,No,Yes,Mobile Application
141,18 - 30,Male,Single,Intermediate/ A-Levels,Business,High,Rural area,No,No,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
142,31 - 50,Male,Married,Masters/ M.Phil,Government Sector,High,Urban area,Yes,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,Yes,Yes,"Operational constraint, Lack of interest, Fear of hidden charges, Inconvenience",Yes,Yes,Yes,Mobile Application
143,31 - 50,Male,Married,Matriculation/ O-Levels,Labour,High,Urban area,Maybe,Yes,Yes,Yes,Easypaisa,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
144,31 - 50,Male,Married,No formal education or below matric,Labour,High,Urban area,No,No,Yes,Yes,Jazzcash,"To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
145,18 - 30,Male,Single,No formal education or below matric,Labour,Medium,Urban area,No,No,Yes,Yes,Jazzcash,"To send money, To receive money, Bill payments",Easy to use,No,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
146,18 - 30,Male,Single,Masters/ M.Phil,Health Sector,Medium,Urban area,Yes,Yes,Yes,Yes,Jazzcash,To receive money,Inclusive,No,Yes,No,No,No,Lack of interest,No,No,No,Mobile Application
147,18 - 30,Male,Single,Masters/ M.Phil,Health Sector,Medium,Rural area,Yes,Yes,Yes,Yes,Jazzcash,To send money,Service quality,Yes,No,No,No,Yes,Scam or security reasons,No,No,Yes,Mobile Application
148,18 - 30,Female,Married,Masters/ M.Phil,Homemaker,Medium,Rural area,No,Yes,Yes,Yes,Jazzcash,Online shopping,Easy to use,No,No,No,No,Yes,Not applicable,No,Yes,No,Without Mobile Application
149,31 - 50,Male,Married,No formal education or below matric,Labour,High,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
150,18 - 30,Male,Married,Masters/ M.Phil,Health Sector,Medium,Urban area,No,Yes,Yes,No,Jazzcash,Bill payments,Easy to use,Yes,No,No,No,Yes,Operational constraint,Yes,Yes,No,Mobile Application
151,31 - 50,Male,Married,Masters/ M.Phil,Corporate Sector,High,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Online shopping, Bill payments",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
152,Above 50,Male,Widow/ Widower,No formal education or below matric,Education Sector,Medium,Rural area,Yes,Yes,Yes,Yes,Easypaisa,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Without Mobile Application
153,18 - 30,Female,Single,Bachelors,Business,Medium,Rural area,Yes,Yes,Yes,Yes,Sadapay,Bill payments,Accessibility,No,No,No,No,Yes,Operational constraint,Maybe,Maybe,Yes,Without Mobile Application
154,18 - 30,Female,Single,Bachelors,Corporate Sector,High,Urban area,No,Yes,Yes,Yes,"Jazzcash, Sadapay, Nayapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Not applicable,"Internet instability or unavailability, Fear of hidden charges",Maybe,No,Yes,Mobile Application
155,18 - 30,Male,Single,Masters/ M.Phil,"Corporate Sector, Business",Medium,Rural area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
156,18 - 30,Female,Single,Bachelors,Business,Medium,Urban area,No,Yes,Yes,Yes,"Jazzcash, Sadapay","To send money, To receive money, Online shopping, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
157,18 - 30,Female,Single,Bachelors,Corporate Sector,Medium,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Online shopping",Easy to use,No,No,No,No,Yes,Scam or security reasons,Maybe,No,Yes,Mobile Application
158,18 - 30,Male,Single,Bachelors,Corporate Sector,Medium,Urban area,No,Yes,Yes,Yes,"Jazzcash, Sadapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
159,18 - 30,Male,Single,Bachelors,Blogger,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,Yes,Yes,Yes,No,Not applicable,"Scam or security reasons, Internet instability or unavailability, Lack of interest, Fear of hidden charges",Not applicable,Not applicable,Yes,Without Mobile Application
160,18 - 30,Male,Single,Diploma,Student,Low,Urban area,Yes,No,Yes,Yes,Easypaisa,To send money,Easy to use,No,No,No,No,Yes,Scam or security reasons,Maybe,Maybe,Yes,Mobile Application
161,18 - 30,Male,Single,Bachelors,Student,Low,Rural area,Yes,No,Yes,No,Not applicable,Not Applicable,Easy to use,Yes,Yes,No,No,No,"Scam or security reasons, Internet instability or unavailability, Operational constraint, Inconvenience",No,No,Yes,Without Mobile Application
162,18 - 30,Female,Married,Bachelors,Homemaker,Low,Urban area,Yes,No,Yes,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Without Mobile Application
163,18 - 30,Male,Single,Bachelors,Student,High,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,"Scam or security reasons, Fear of hidden charges",Yes,Yes,Yes,Mobile Application
164,31 - 50,Female,Married,No formal education or below matric,Labour,Low,Rural area,No,No,No,No,"Not applicable, ",Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable 
165,18 - 30,Female,Single,Bachelors,"Education Sector, Unemployed",Medium,Rural area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
166,18 - 30,Female,Single,Masters/ M.Phil,Government Sector,Medium,Urban area,Yes,Yes,Yes,Yes,Easypaisa,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Fear of hidden charges,Yes,Yes,Maybe,Mobile Application
167,31 - 50,Female,Married,B.A/ B.Ed,Homemaker,Low,Urban area,No,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not applicable
168,18 - 30,Male,Single,Bachelors,Corporate Sector,Low,Rural area,No,No,Yes,Yes,Jazzcash,To send money,Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
169,18 - 30,Male,Single,Bachelors,Student,Low,Rural area,Yes,No,No,No,Ok,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation, Not Applicable",Easy to use,Yes,Yes,No,No,Yes,Internet instability or unavailability,No,No,Yes,Mobile Application
170,18 - 30,Male,Married,Bachelors,Health Sector,High,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
171,18 - 30,Female,Single,Bachelors,Student,Low,Urban area,Yes,Yes,Yes,Yes,"Jazzcash, Bank account ","To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
172,18 - 30,Male,Married,Bachelors,Student,High,Rural area,Yes,Yes,Yes,Yes,"Jazzcash, Sadapay","Online shopping, Bill payments",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
173,Below 18,Female,Single,No formal education or below matric,Labour,Low,Rural area,Yes,No,No,Yes,Easypaisa,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Without Mobile Application
174,18 - 30,Female,Married,No formal education or below matric,"Labour, Homemaker",Medium,Rural area,Yes,Yes,Yes,Yes,Easypaisa,"To send money, To receive money, Online shopping, Bill payments",Easy to use,No,No,No,No,Yes,Lack of interest,Yes,Yes,No,Mobile Application
175,Above 50,Male,Married,No formal education or below matric,Labour,Low,Rural area,Yes,Yes,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Without Mobile Application
176,31 - 50,Male,Married,Matriculation/ O-Levels,Business,High,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Bill payments",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
177,Below 18,Male,Single,Bachelors,Education Sector,Low,Urban area,Yes,Yes,Yes,Yes,Sadapay,"To send money, To receive money, Online shopping, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
178,Below 18,Male,Single,Bachelors,Education Sector,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Cultural preference/ habit,Not applicable,Not applicable,No,Not Applicable
179,18 - 30,Male,Married,No formal education or below matric,Labour,Low,Urban area,Yes,No,Yes,Yes,Easypaisa,"To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
180,18 - 30,Male,Single,No formal education or below matric,Labour,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Without Mobile Application
181,31 - 50,Male,Married,Bachelors,Business,Medium,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay","To send money, To receive money",Easy to use,No,No,No,No,No,"Scam or security reasons, Fear of hidden charges",No,No,Yes,Mobile Application
182,18 - 30,Male,Single,No formal education or below matric,Business,Medium,Rural area,No,No,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Without Mobile Application
183,18 - 30,Male,Single,No formal education or below matric,Labour,Low,Rural area,No,No,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,"Lack of knowledge, Lack of interest",Yes,Yes,Yes,Without Mobile Application
184,18 - 30,Male,Married,Matriculation/ O-Levels,Business,Medium,Rural area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
185,18 - 30,Male,Single,No formal education or below matric,Labour,Low,Rural area,No,No,No,No,Not applicable,Not Applicable,Not applicable,Yes,No,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not Applicable 
186,31 - 50,Female,Married,Intermediate/ A-Levels,Business,Low,Urban area,No,No,Yes,Yes,Jazzcash,"To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,"Scam or security reasons, Lack of interest",Yes,Yes,Yes,Mobile Application
187,31 - 50,Male,Married,Masters/ M.Phil,Corporate Sector,High,Urban area,Yes,Yes,Yes,Yes,Easypaisa,To send money,Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
188,18 - 30,Male,Married,Bachelors,"Corporate Sector, ",Medium,Rural area,Yes,Yes,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Operational constraint,Yes,Yes,Yes,Mobile Application
189,18 - 30,Male,Single,Bachelors,Corporate Sector,Medium,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Online shopping, Bill payments",Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
190,18 - 30,Male,Single,Bachelors,Corporate Sector,Medium,Urban area,Yes,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not applicable 
191,Above 50,Female,Married,No formal education or below matric,Labour,Low,Rural area,Yes,No,Yes,Yes,Easypaisa,Recharge or package activation,Convenience,No,No,No,No,Yes,Not applicable,Maybe,No,Yes,Without Mobile Application
192,18 - 30,Male,Single,Bachelors,Student,Medium,Rural area,Yes,Yes,Yes,Yes,"Jazzcash, Sadapay","To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
193,18 - 30,Male,Single,Intermediate/ A-Levels,Health Sector,Medium,Rural area,Yes,No,Yes,Yes,"Easypaisa, Jazzcash","To receive money, Bill payments",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
194,18 - 30,Female,Single,Masters/ M.Phil,Student,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Without Mobile Application
195,18 - 30,Female,Married,Bachelors,Business,High,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay","To send money, To receive money, Online shopping, Bill payments",Easy to use,No,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
196,18 - 30,Male,Single,Bachelors,Corporate Sector,Medium,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay, Zindagi","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Maybe,No,Yes,Mobile Application
197,18 - 30,Female,Single,Bachelors,Education Sector,Medium,Urban area,Yes,Yes,Yes,Yes,Easypaisa,To send money,Easy to use,No,No,Yes,No,Yes,Inconvenience,Yes,No,Yes,Mobile Application
198,Above 50,Male,Married,No formal education or below matric,Labour,Low,Rural area,Yes,Yes,Yes,No,"Easypaisa, Jazzcash",To receive money,Accessibility,No,No,No,No,Yes,Lack of knowledge,Yes,No,Yes,Without Mobile Application
199,18 - 30,Female,Single,Matriculation/ O-Levels,Student,Low,Urban area,Yes,Yes,Yes,Yes,Easypaisa,To receive money,Service quality,No,No,No,No,Yes,Inconvenience,Yes,Yes,Yes,Mobile Application
200,18 - 30,Male,Married,Masters/ M.Phil,Government Sector,Medium,Urban area,Yes,Yes,Yes,Yes,Jazzcash,Recharge or package activation,Easy to use,No,No,No,No,Yes,Not applicable,Yes,No,Yes,Mobile Application
201,18 - 30,Female,Single,Intermediate/ A-Levels,Student,Low,Urban area,Yes,No,Yes,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable 
202,18 - 30,Female,Married,Matriculation/ O-Levels,Homemaker,Medium,Urban area,Maybe,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable 
203,31 - 50,Female,Married,Matriculation/ O-Levels,Homemaker,Low,Urban area,Yes,No,Yes,No,Not applicable,Not Applicable,Not applicable,No,Yes,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable 
204,31 - 50,Female,Married,Matriculation/ O-Levels,Homemaker,Low,Urban area,Yes,Yes,Yes,Yes,Jazzcash,Recharge or package activation,Accessibility,No,No,No,No,Yes,Internet instability or unavailability,Yes,Maybe,No,Mobile Application
205,Above 50,Transgender,Single,No formal education or below matric,Unemployed,Low,Urban area,No,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Without Mobile Application
206,Below 18,Transgender,Single,No formal education or below matric,Student,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
207,Below 18,Transgender,Single,No formal education or below matric,Student,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,No,Not Applicable
208,18 - 30,Transgender,Single,Bachelors,Business,Low,Urban area,Yes,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Online shopping, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
209,31 - 50,Transgender,Single,Diploma,Business,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
210,31 - 50,Transgender,Single,No formal education or below matric,Labour,Low,Rural area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
211,Above 50,Male,Married,Matriculation/ O-Levels,Business,Medium,Urban area,Yes,Yes,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
212,Above 50,Transgender,Single,No formal education or below matric,Labour,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Without Mobile Application
213,31 - 50,Transgender,Single,No formal education or below matric,Labour,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,No,Without Mobile Application
214,Above 50,Transgender,Single,No formal education or below matric,Unemployed,Low,Rural area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
215,31 - 50,Transgender,Single,No formal education or below matric,Unemployed,Low,Rural area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
216,Above 50,Transgender,Single,No formal education or below matric,Unemployed,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
217,Above 50,Transgender,Single,No formal education or below matric,Unemployed,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
218,31 - 50,Transgender,Single,Matriculation/ O-Levels,Labour,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Without Mobile Application
219,18 - 30,Transgender,Single,Matriculation/ O-Levels,Student,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,No,"Scam or security reasons, Fear of hidden charges",Maybe,Maybe,Yes,Mobile Application
220,18 - 30,Transgender,Single,Diploma,Student,Low,Urban area,Yes,No,Yes,Yes,Easypaisa,"To send money, To receive money",Easy to use,No,No,No,No,No,"Scam or security reasons, Fear of hidden charges",Yes,Maybe,Yes,Mobile Application
